Lenkradwin	Lenkmoment	Fahrgeschw	Schwimmwin	Bremslicht	Längsbesch	Querbeschl	Giergeschw	Nickwinkel	Wankwinkel	Gierwinkel	Nickgeschw	Wankgeschw	Hochbeschl	Fahrge_DIS	GPS_Status	Schwim_MSP	Schwim_MHA	Längengrad	Breitengrd	GPS-Fahrge
t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00	t0: 01.01.1904_01:00:00
dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000	dt: 1,000000
-7,113552000	-1,613771100	195,395480000	-0,244142200	0,000961350	0,097651200	-2,642685600	-2,230865800	-0,382975800	0,757559700	-74,292825000	0,247195800	-0,964368800	-0,003814500	183,556282000	1,000062310	-0,335085200	-0,395510400	7,516750340	53,040158200	196,994238000
-7,456872000	-1,593934400	195,532802000	-0,390626200	0,001025440	-0,064083600	-1,905724200	-2,258332000	-0,385264500	0,751456500	-74,320290000	0,079346800	-0,665292400	0,584381400	184,159815000	1,000062310	-0,483401600	-0,543826800	7,516750340	53,040158200	196,994238000
-7,342432000	-1,699221500	195,685382000	-0,261232000	0,000961350	0,175467000	-1,684483200	-2,517735000	-0,386027400	0,742301700	-74,342262000	-0,198367000	-0,701914000	-0,470709300	184,784712000	1,000062310	-0,363924500	-0,432589500	7,516750340	53,040158200	196,994238000
-7,708640000	-1,705325100	195,494657000	-0,141603400	0,001089530	0,386790300	-2,447383200	-2,230865800	-0,385264500	0,732384000	-74,364234000	0,088502200	-0,836193200	-0,575989500	185,324153000	1,000062310	-0,233461000	-0,292512900	7,516750340	53,040158200	196,994238000
-7,411096000	-1,709902800	195,906623000	-0,173341600	0,001730430	0,027464400	-1,897332300	-2,243073000	-0,385264500	0,725517900	-74,386206000	-0,051880600	-0,860607600	0,712548600	185,842230000	1,000062310	-0,265046900	-0,325472100	7,516750340	53,040158200	196,994238000
-7,365320000	-1,676333000	196,089719000	-0,146486200	0,001345890	-0,456977100	-2,374144800	-2,310212600	-0,387553200	0,716363100	-74,413671000	-0,122072000	-0,939954400	0,714074400	186,328261000	1,000062310	-0,240327500	-0,303499300	7,516750340	53,040158200	196,994238000
-7,479760000	-1,729739500	196,272815000	-0,285646000	0,001281800	0,324232500	-2,318453100	-2,456699000	-0,389841900	0,705682500	-74,430150000	-0,173952600	-0,964368800	-0,545473500	186,792928000	1,000062310	-0,385897300	-0,451815700	7,516750340	53,040158200	196,994238000
-7,456872000	-1,685488400	196,349105000	-0,131837800	0,001025440	0,227344200	-1,497572700	-2,108793800	-0,395182200	0,697290600	-74,452122000	-0,173952600	-1,098648000	-0,060269100	187,289641000	1,000062310	-0,218354700	-0,274660000	7,516750340	53,040158200	196,994238000
-7,067776000	-1,616822900	196,204154000	-0,266114800	0,000769080	-0,524875200	-1,557841800	-2,075224000	-0,395945100	0,687372900	-74,474094000	-0,158693600	-1,055922800	0,749167800	187,711580000	1,000062310	-0,350191500	-0,406496800	7,516750340	53,040158200	196,994238000
-7,456872000	-1,665651700	196,120235000	-0,307618600	0,001089530	-0,016020900	-2,388639900	-2,224762200	-0,395945100	0,672114900	-74,496066000	-0,408941200	-1,208512800	0,087733500	188,160224000	1,000062310	-0,398257000	-0,458682200	7,516750340	53,040158200	196,994238000
-7,548424000	-1,677858900	196,265186000	-0,246583600	0,000961350	0,086207700	-2,429073600	-1,995877200	-0,395945100	0,658382700	-74,518038000	-0,180056200	-1,263445200	0,083156100	188,539435000	1,000062310	-0,328218700	-0,381777400	7,516750340	53,040158200	196,994238000
-7,731528000	-1,629030100	195,792188000	-0,280763200	0,000961350	0,288376200	-2,828070300	-2,017239800	-0,395945100	0,647702100	-74,534517000	-0,039673400	-1,309222200	1,142824200	188,998761000	1,000062310	-0,363924500	-0,417483200	7,516750340	53,040158200	196,994238000
-7,411096000	-1,520691200	196,021058000	-0,205079800	0,001153620	-0,191487900	-1,190886900	-2,166778000	-0,396708000	0,638547300	-74,556489000	0,112916600	-1,190202000	0,796467600	189,388654000	1,000062310	-0,293886200	-0,351564800	7,516750340	53,040158200	196,994238000
-7,136440000	-1,528320700	195,845591000	-0,163576000	0,000897260	0,215137800	-2,229193800	-2,047757800	-0,392130600	0,622526400	-74,578461000	0,265506600	-1,278704200	-0,704156700	189,703773000	1,000062310	-0,247194000	-0,302126000	7,516750340	53,040158200	196,994238000
